,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus_Weekday,WeekStatus_Weekend,Day_of_week_Friday,Day_of_week_Monday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type_Light_Load,Load_Type_Maximum_Load,Load_Type_Medium_Load
0,3.17,2.95,0.0,0.0,73.21,100.0,900,True,False,False,True,False,False,False,False,False,True,False,False
1,4.0,4.46,0.0,0.0,66.77,100.0,1800,True,False,False,True,False,False,False,False,False,True,False,False
2,3.24,3.28,0.0,0.0,70.28,100.0,2700,True,False,False,True,False,False,False,False,False,True,False,False
3,3.31,3.56,0.0,0.0,68.09,100.0,3600,True,False,False,True,False,False,False,False,False,True,False,False
4,3.82,4.5,0.0,0.0,64.72,100.0,4500,True,False,False,True,False,False,False,False,False,True,False,False
5,3.28,3.56,0.0,0.0,67.76,100.0,5400,True,False,False,True,False,False,False,False,False,True,False,False
6,3.6,4.14,0.0,0.0,65.62,100.0,6300,True,False,False,True,False,False,False,False,False,True,False,False
7,3.6,4.28,0.0,0.0,64.37,100.0,7200,True,False,False,True,False,False,False,False,False,True,False,False
8,3.28,3.64,0.0,0.0,66.94,100.0,8100,True,False,False,True,False,False,False,False,False,True,False,False
9,3.78,4.72,0.0,0.0,62.51,100.0,9000,True,False,False,True,False,False,False,False,False,True,False,False
10,3.46,4.03,0.0,0.0,65.14,100.0,9900,True,False,False,True,False,False,False,False,False,True,False,False
11,3.24,3.64,0.0,0.0,66.49,100.0,10800,True,False,False,True,False,False,False,False,False,True,False,False
12,3.96,4.97,0.0,0.0,62.32,100.0,11700,True,False,False,True,False,False,False,False,False,True,False,False
13,3.31,3.74,0.0,0.0,66.27,100.0,12600,True,False,False,True,False,False,False,False,False,True,False,False
14,3.31,3.85,0.0,0.0,65.19,100.0,13500,True,False,False,True,False,False,False,False,False,True,False,False
15,3.89,5.0,0.0,0.0,61.4,100.0,14400,True,False,False,True,False,False,False,False,False,True,False,False
16,3.28,3.82,0.0,0.0,65.14,100.0,15300,True,False,False,True,False,False,False,False,False,True,False,False
17,3.56,4.28,0.0,0.0,63.95,100.0,16200,True,False,False,True,False,False,False,False,False,True,False,False
18,3.74,4.54,0.0,0.0,63.58,100.0,17100,True,False,False,True,False,False,False,False,False,True,False,False
19,3.31,3.6,0.0,0.0,67.68,100.0,18000,True,False,False,True,False,False,False,False,False,True,False,False
20,3.56,4.07,0.0,0.0,65.84,100.0,18900,True,False,False,True,False,False,False,False,False,True,False,False
21,3.56,4.1,0.0,0.0,65.56,100.0,19800,True,False,False,True,False,False,False,False,False,True,False,False
22,3.28,3.49,0.0,0.0,68.48,100.0,20700,True,False,False,True,False,False,False,False,False,True,False,False
23,3.78,4.32,0.0,0.0,65.85,100.0,21600,True,False,False,True,False,False,False,False,False,True,False,False
24,3.35,3.64,0.0,0.0,67.72,100.0,22500,True,False,False,True,False,False,False,False,False,True,False,False
25,3.24,3.35,0.0,0.0,69.52,100.0,23400,True,False,False,True,False,False,False,False,False,True,False,False
26,3.89,4.46,0.0,0.0,65.73,100.0,24300,True,False,False,True,False,False,False,False,False,True,False,False
27,3.31,3.53,0.0,0.0,68.4,100.0,25200,True,False,False,True,False,False,False,False,False,True,False,False
28,3.28,3.49,0.0,0.0,68.48,100.0,26100,True,False,False,True,False,False,False,False,False,True,False,False
29,3.85,4.75,0.0,0.0,62.97,100.0,27000,True,False,False,True,False,False,False,False,False,True,False,False
30,3.2,3.6,0.0,0.0,66.44,100.0,27900,True,False,False,True,False,False,False,False,False,True,False,False
31,3.31,3.78,0.0,0.0,65.88,100.0,28800,True,False,False,True,False,False,False,False,False,True,False,False
32,3.78,4.75,0.0,0.0,62.27,100.0,29700,True,False,False,True,False,False,False,False,False,True,False,False
33,3.28,3.74,0.0,0.0,65.94,100.0,30600,True,False,False,True,False,False,False,False,False,True,False,False
34,3.49,4.46,0.18,0.0,61.63,99.87,31500,True,False,False,True,False,False,False,False,False,True,False,False
35,3.89,0.0,15.66,0.0,100.0,24.11,32400,True,False,False,True,False,False,False,False,False,True,False,False
36,3.6,0.0,16.96,0.0,100.0,20.76,33300,True,False,False,True,False,False,False,False,False,True,False,False
37,4.03,0.0,21.28,0.0,100.0,18.61,34200,True,False,False,True,False,False,False,False,False,True,False,False
38,3.92,0.0,19.22,0.0,100.0,19.98,35100,True,False,False,True,False,False,False,False,False,True,False,False
39,3.64,0.0,16.88,0.0,100.0,21.08,36000,True,False,False,True,False,False,False,False,False,True,False,False
40,4.07,0.0,22.32,0.0,100.0,17.94,36900,True,False,False,True,False,False,False,False,False,True,False,False
41,3.71,0.0,18.0,0.0,100.0,20.19,37800,True,False,False,True,False,False,False,False,False,True,False,False
42,3.6,0.0,16.92,0.0,100.0,20.81,38700,True,False,False,True,False,False,False,False,False,True,False,False
43,4.21,0.0,23.4,0.0,100.0,17.71,39600,True,False,False,True,False,False,False,False,False,True,False,False
44,3.49,0.0,5.65,0.0,100.0,52.55,40500,True,False,False,True,False,False,False,False,False,True,False,False
45,3.46,0.0,4.82,0.0,100.0,58.31,41400,True,False,False,True,False,False,False,False,False,True,False,False
46,4.0,0.0,6.7,0.0,100.0,51.26,42300,True,False,False,True,False,False,False,False,False,True,False,False
47,3.49,0.0,4.57,0.0,100.0,60.69,43200,True,False,False,True,False,False,False,False,False,True,False,False
48,3.6,0.0,12.89,0.0,100.0,26.9,44100,True,False,False,True,False,False,False,False,False,True,False,False
